,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4,NCBSuper_S1,NCBSuper_S2,NCBSuper_S3,NCBEV_S1,NCBEV_S2,NCBEV_S2,NCBExomere_S1,NCBExomere_S2,NCBExomere_S3
DDB2,0,0,1.401468483,2.941009732,2.753608502,3.43690954,0,0.9499485,0,0,0,0,0.970922069,0,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.541325441,1.264537373,1.9187651,0,0,0,2.668005625,3.06006698,1.937685898
DDC,0,0,0,2.528836668,2.945112293,3.43690954,3.126593151,3.230546315,3.277509632,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459649025,0,1.473143559,1,0,0,0,0,0,0,0,0,0,0,0,0,3.211787167,3.12329515,2.552558415,0,0,0,1.87882341,2.091622856,1.643015738
DDR1,2.801126798,2.519953374,0.864613417,1.540237874,1.953082406,1.880020556,4.251363295,4.295434599,3.277509632,0,0,2.251195448,0.970922069,0,1.003619168,3.846371158,3.738788903,3.765752776,0,0,0,0,4.066410421,4.09068599,3.926957113,4.584962501,2.89033867,3.163224167,3.238727139,3.103821595,2.867824406,0,0,0,0,0,0,0,3.211787167,2.870119476,3.11232151,1.294777441,3.014573476,2.88278249,0,0,0
DDT,0.996370196,0.961347078,0.864613417,0.966587184,0.968891745,0.921132385,2.405039482,2.240990417,2.419108186,1.950337883,1.853383544,1.933791208,0.970922069,0,0,0,0,0,1.098576504,1.653127323,0,1.889360771,1.858228386,1.529484238,0.916958742,1.584962501,1.380514028,1.373875901,1.266997295,0,0,0,0,0,0,0,0,0,0,0,1.257310231,0,1.748636129,0,0.739362081,0,0.772077092
DDX1,4.080622667,3.628251645,4.371589565,3.109978656,3.114149002,3.935234957,3.261982234,3.367096615,4.392499739,4.459919147,4.509625417,4.086043188,0,1.025359956,0,0,0.963485218,1.03574445,1.098576504,1.05142317,1.806054709,1.234105921,0.90705003,0,0,0,1.380514028,1.373875901,1.266997295,1.333072201,0,0,0,0,0,2.829306972,4.408026318,2.600000002,3.100343189,3.43529668,3.514592303,3.047356427,1.748636129,2.270656823,3.705964078,3.634355587,3.780213522
DDX17,4.385395623,4.247579354,5.044971775,2.941009732,3.402362581,3.756000002,2.810463839,2.911236342,3.719788928,4.024863517,3.62351829,3.242104959,0.970922069,1.025359956,0,0,0,0,1.098576504,1.653127323,0,1.889360771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.541325441,3.12329515,2.714132425,1.965981088,2.182886454,1.827934899,3.278384403,3.634355587,3.538029059
DDX18,0,0,2.754024153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90705003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.600000002,0,0,0,0,0,0,0,0,0
DDX19A,0.996370196,0,1.401468483,0,0,0,0,0,0.90279184,0.96708259,0.903929473,0,0,0,0,0,0,0,0,1.05142317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.588954437,1.395685978,1.937685898
DDX19B,1.58012073,2.259576362,3.068269276,0.966587184,0,0.921132385,0,0,0,2.941892081,2.164986415,0.956200116,0,1.025359956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX21,2.801126798,2.519953374,3.326158875,2.749592966,2.753608502,2.859016798,0.894759661,1.51783371,2.419108186,1.950337883,1.455392216,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.264537373,2.552558415,0,1.124462919,0,2.120082319,2.746092798,1.937685898
DDX23,0,0.961347078,1.791837015,0.966587184,0.968891745,1.47881758,1.442864021,0,1.851615862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.927897643,0,0,0,0,2.326717095,1.785217586,1.643015738
DDX27,0.996370196,0.961347078,1.791837015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX39A,1.994551864,1.533191662,2.351701379,1.540237874,1.543333959,1.47881758,2.149649735,1.51783371,2.163087258,1.540903575,2.164986415,1.526262086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.211787167,3.12329515,3.11232151,1.965981088,0,0,2.812485386,2.911604374,3.246821555
DDX39B,3.452825167,3.628251645,3.544865169,3.63813725,3.749037927,4.094642998,3.795922944,4.073877018,4.892364797,2.750456577,2.9944429,2.511206051,2.536168495,2.850560031,2.813553664,3.497640075,3.392338026,3.061983348,2.145448836,2.669676924,2.246490367,3.18810514,3.150050254,3.383238525,3.428871228,2.807354922,0,0,0,0,0,0,0,0,0,0,0,0,4.131750065,3.691675226,3.897720983,1.294777441,2.516220617,1.827934899,3.064160716,3.06006698,3.350560448
DDX3X,3.578300868,3.628251645,3.979598316,1.949586033,1.543333959,2.193583806,0.894759661,1.51783371,1.453839514,3.639070203,3.814276912,3.378779227,0,1.025359956,1.589786044,0,0,0,1.098576504,1.05142317,1.168913826,1.889360771,0,0,0,0,2.538745146,3.399164795,3.005940259,3.103821595,0,0,0,0,0,0,0,0,1.616472452,1.927897643,2.16228771,3.281008069,2.786809276,2.270656823,2.94380414,2.746092798,2.573880245
DDX42,0,0,0,0,0,0,3.261982234,3.712975173,3.621272161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958592587,1.473143559,2.321928095,0,0,0,0,0,0,0,0,0,0,0,0,2.541325441,2.5628543,2.859419746,0,0,0,0,0,0
DDX46,1.994551864,0.961347078,2.919685889,0.966587184,0.968891745,0.921132385,0,0,0,0,0.903929473,0.956200116,0,0,0,0,0,0,0,1.05142317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,0,0,0,0,0,0.739362081,0,0.772077092
DDX5,3.315387858,3.100475979,3.734739458,1.949586033,0.968891745,1.47881758,1.442864021,0.9499485,2.825330619,1.950337883,1.455392216,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.151774346,2.380592238,2.859419746,1.965981088,0,0,2.668005625,2.746092798,3.135041216
DDX6,2.801126798,2.931662233,4.052779486,2.268089723,2.753608502,2.669391044,2.621946525,2.500551849,3.277509632,2.529675346,2.827430592,2.251195448,1.546060213,1.025359956,1.003619168,0,0,0,0,0,0,1.889360771,0.90705003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.151774346,2.380592238,1.625618656,1.294777441,0,1.185956953,3.064160716,2.746092798,2.573880245
DECR1,0,0,1.401468483,0,0,0,0,0,0,0.96708259,0.903929473,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,1.395685978,1.272293996
DEK,0,0,2.098758683,1.949586033,1.543333959,3.026589061,1.442864021,1.924256156,1.851615862,2.529675346,2.164986415,1.933791208,1.546060213,1.025359956,1.589786044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69678497,0,4.408026318,0,1.249442867,1.927897643,1.9187651,0,0,0,1.225814757,0.860421079,1.643015738
DENND4C,0.996370196,0,0.864613417,0,0,0,0,0,0,1.540903575,1.853383544,0.956200116,0,0,0,0,0,0,0,0,1.168913826,1.234105921,0,0,0,0,0,0,0,0,0,0,0,0,2.69678497,0,0,2.600000002,0,0,0,0,0,0,0,0,0
DENR,0,0,0,0,0,0,0.894759661,0,0.90279184,0.96708259,0.903929473,1.933791208,0,1.025359956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERA,3.452825167,3.388364695,3.642923751,3.109978656,3.265441068,3.65727565,0,0,0,3.262125066,3.144111598,2.922454862,0,0,1.003619168,0,0,0,2.145448836,2.894418153,2.856411626,3.563016736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.047356427,2.786809276,2.88278249,3.705964078,3.634355587,3.780213522
DHCR7,0,0,0,0,0,0,0,0,0,0,1.455392216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.064647663,1.931003366,1.333072201,0,2.069533795,2.795384697,1.933211842,2.69678497,0,0,0,0,0,0,0,0,0,0,0,0
DHPS,0,0,0,1.949586033,0.968891745,1.47881758,1.442864021,1.924256156,0,1.950337883,1.853383544,0.956200116,0,1.025359956,1.003619168,1.61308057,1.53606782,1.632427638,0,0,0,0,0,0,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616472452,2.171928609,1.625618656,0,0,0,0,0,0
DHRS11,0,0,1.791837015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHX15,4.899864715,4.968462577,5.214026639,4.39495704,4.262237099,4.488413743,3.499731284,3.812010579,3.812006199,4.184907225,4.060116522,3.503618698,2.275117866,2.850560031,2.813553664,0,0,0,2.145448836,2.894418153,2.246490367,2.9563868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.587361076,3.611173861,3.963493745,3.815629022,2.786809276,2.88278249,4.830201436,4.524837227,4.224439107
DHX16,1.58012073,0.961347078,1.791837015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,1.785217586,1.643015738
DHX29,1.58012073,1.533191662,2.098758683,0.966587184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,0,0.772077092
DHX30,1.994551864,1.533191662,1.791837015,0,0,0,0,0,0,0.96708259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225814757,0,0.772077092
DHX36,2.578907744,2.259576362,3.068269276,2.749592966,2.532736393,2.193583806,0.894759661,0,0.90279184,0.96708259,0.903929473,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.63401345,2.16228771,1.294777441,0,0,2.668005625,2.559102357,2.182257962
DHX8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739362081,0,0
DHX9,5.992845093,5.877124704,6.210540831,5.740972741,5.582239392,5.595767811,5.10905563,5.186205003,5.08949235,5.361245656,5.360123829,5.122960291,3.40611886,3.854102726,4.094267871,1.021139762,0,0,2.476571387,3.901441717,3.085856525,4.215726552,1.459649025,1.529484238,1.873574051,1,0,0,0,0,0,0,0,0,2.69678497,2.829306972,4.015464754,3.475828426,4.689015437,4.789078682,4.848494147,4.97825149,4.752988354,4.72807568,5.697030095,5.466793877,5.738005069
DIABLO,0,0,0,0,0,0,0,0,0.90279184,0,0,0,0,0,0,1.021139762,0.963485218,0,0,0,0,0,1.459649025,1.937434512,0.916958742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625618656,0,0,0,0,0,0
DIAPH1,1.994551864,1.941625202,2.351701379,2.528836668,2.753608502,3.026589061,2.149649735,2.500551849,2.163087258,2.529675346,1.853383544,1.933791208,2.948722432,2.850560031,3.006327599,1.021139762,0.963485218,1.632427638,3.168326031,2.076463354,3.085856525,1.889360771,0,0,0,0,1.380514028,2.064647663,1.931003366,1.333072201,0,0,0,0,0,0,0,0,2.84774274,2.870119476,2.859419746,0,0,0,2.812485386,2.746092798,3.44733765
DIAPH2,0,0,1.401468483,1.949586033,0,2.451014583,0.894759661,1.924256156,1.851615862,1.540903575,1.455392216,1.526262086,1.956160331,2.037874702,1.589786044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.933211842,0,0,0,0,1.616472452,1.63401345,1.9187651,0,0,0,1.225814757,2.091622856,1.643015738
DIEXF,0,0,0,0,0,0,0,0,1.453839514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIP2A,2.801126798,2.931662233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.220308535,4.726097906,4.718023325,4.572331312,0,0,0,0,0,0,0,0,0,0,0,4.314267921,4.688419698,5.146852707,0,0,0
DIP2B,5.385222152,5.508269378,4.188866565,0,0,0,0,0,0,2.268893588,0.903929473,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.314278682,6.213664436,6.367770989,6.116289307,4.526614972,2.886554086,3.309356743,3.241403097,0,0,0,0,0,0,0,6.414418092,6.593898978,6.756382533,1.225814757,1.395685978,1.272293996
DIS3,4.315023641,4.247579354,4.371589565,2.749592966,2.271827737,2.859016798,0,0,1.453839514,1.540903575,2.421096055,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.151774346,1.264537373,1.625618656,1.294777441,0,0,3.175245132,2.746092798,2.735914953
DKC1,3.452825167,3.388364695,3.734739458,1.949586033,2.532736393,2.193583806,1.839113208,1.924256156,1.851615862,2.529675346,2.164986415,1.933791208,0,0,0,0,0,0,0,0,0,0,0.90705003,0,0.916958742,0,0,0,0,0,0,0,0,0,3.581002772,4.668420179,5.373641915,3.475828426,1.249442867,1.264537373,0,1.294777441,1.124462919,1.185956953,1.225814757,1.785217586,1.643015738
DLD,0,0,0,3.261216432,3.265441068,4.094642998,3.964223206,3.712975173,4.392499739,3.639070203,3.90096226,4.374625784,5.466110981,5.441422199,5.292446585,5.713588178,5.599935145,5.560945301,3.633934435,3.793987451,3.880945927,4.106705299,6.809302752,6.546191955,6.38536491,6.64385619,2.072868086,0,0,0,2.053047961,0,2.795384697,3.241403097,3.581002772,2.829306972,3.474430172,2.600000002,4.342337338,4.15623632,4.253721054,0,0,0,1.225814757,2.34421514,0.772077092
DLG1,3.452825167,3.513288396,2.098758683,0,0,0,1.442864021,2.240990417,2.163087258,0.96708259,0,0,0,0,0,0,0.963485218,0,0,0,0,0,1.459649025,1.529484238,0.916958742,1.584962501,5.795007925,5.742134157,5.729124655,5.838379101,4.06601068,2.069533795,3.986902457,2.7307681,0,0,0,0,1.249442867,0,0,4.763467141,4.475322686,4.656937282,0,0,0
DLG3,1.58012073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.408938331,3.399164795,3.771823672,3.717549031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLST,0,0,0,2.749592966,2.271827737,1.880020556,0,0,0,0.96708259,1.455392216,1.526262086,0.970922069,2.037874702,1.589786044,0,0,0,0,1.653127323,1.806054709,2.338300494,0,0,0,0,1.380514028,1.373875901,1.266997295,1.333072201,2.867824406,0,2.795384697,2.7307681,2.69678497,2.829306972,3.474430172,2.600000002,0,0,0,0,0,0,2.507429953,2.911604374,2.735914953
DMBT1,0.996370196,0.961347078,0,0,0,0,0,0,0,0.96708259,0,0,0,0,0,0,0,0,1.098576504,1.05142317,1.168913826,1.889360771,0,0,0,0,1.380514028,1.373875901,1.931003366,1.333072201,2.053047961,3.404975348,3.309356743,2.7307681,4.519429818,3.724066632,3.474430172,3.475828426,0,0,0,0,0,0,0,0,0
DMD,1.994551864,2.259576362,0.864613417,0,0,0,0,0,0,0,0,0,0,0,0,1.61308057,0,1.03574445,0,0,0,0,0.90705003,0.958592587,1.873574051,2,5.360725261,5.405418357,5.432894157,5.227481751,2.053047961,0,0,0,0,0,0,0,0,0,0,3.281008069,3.805523644,3.641116292,0,0,0
DNAAF5,1.58012073,0,1.401468483,0,0,0,0,0,0,2.268893588,2.421096055,1.526262086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAH7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,0,0,0,0,0,0,0,0
DNAJA1,3.578300868,3.833879792,4.052779486,3.261216432,2.945112293,3.312666648,2.149649735,2.240990417,2.825330619,3.1108756,2.827430592,2.922454862,0,0,0,0,0,0,1.098576504,1.05142317,1.806054709,2.338300494,0,0,0,0,3.789613418,3.163224167,3.913226003,4.146756747,2.053047961,2.069533795,1.989531496,2.7307681,0,0,0,0,2.541325441,2.5628543,2.552558415,5.165164068,5.518778705,5.471019874,3.464872434,3.194667265,3.350560448
DNAJA2,3.693731392,3.926654829,4.052779486,3.109978656,3.402362581,3.312666648,2.405039482,2.240990417,2.163087258,1.950337883,1.455392216,0.956200116,0,0,0,0,0,0,1.098576504,1.05142317,1.806054709,1.234105921,0,0,0,0,3.172816473,3.937808665,3.615041015,3.103821595,2.053047961,2.069533795,0,0,0,0,0,0,2.541325441,2.5628543,2.552558415,4.086385166,4.688419698,4.582108328,3.064160716,2.911604374,3.135041216
DNAJB1,1.58012073,1.941625202,2.56684197,0,0,0.921132385,0,0,0,2.268893588,2.421096055,1.526262086,0,0,0,0,0,0,1.098576504,1.05142317,0,1.889360771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.264537373,1.257310231,2.768410014,1.748636129,2.270656823,1.588954437,1.785217586,2.182257962
DNAJB11,4.452494049,4.247579354,3.979598316,4.520226243,4.262237099,4.168194276,4.490730752,4.70921893,4.451035312,1.950337883,1.455392216,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.885082244,3.9751043,4.200159439,2.422279928,0,1.185956953,3.846869356,3.893814407,3.538029059
DNAJC10,0,0,0,0.966587184,0.968891745,1.47881758,1.442864021,1.51783371,2.636470024,0.96708259,0,0,0,0,0,0,0,0,0,0,0,0,1.459649025,0,0,1.584962501,0,0,0,0,0,0,0,0,0,0,0,0,1.908809775,2.171928609,2.370579781,0,0,0,1.588954437,1.785217586,1.272293996
DNAJC13,2.578907744,3.251589451,3.068269276,1.949586033,1.953082406,0,0,0,0,0.96708259,1.853383544,1.526262086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.124462919,1.185956953,1.87882341,1.785217586,2.573880245
DNAJC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC3,3.452825167,3.513288396,2.098758683,3.398093484,3.64247482,2.859016798,4.695977305,4.487453229,4.331488349,0.96708259,0,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.979564372,3.12329515,3.22388253,0,0,0,2.507429953,2.34421514,2.182257962
DNAJC5,1.58012073,2.519953374,1.791837015,0,0,0,0,0,0,0.96708259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538745146,2.529815193,2.728226634,3.103821595,3.76545739,0,2.795384697,1.933211842,0,0,0,0,0,0,0,3.281008069,3.014573476,2.88278249,0,0,0
DNAJC8,0,0,0,0,0,0,0.894759661,1.51783371,1.851615862,0,0,0,0,0,0,1.021139762,0,1.03574445,0,0,0,0,1.858228386,1.937434512,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC9,0,0,0,0,0,0,0.894759661,0.9499485,1.453839514,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459649025,2.5152748,1.473143559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNASE1,0,0,0,2.941009732,3.402362581,3.176707196,3.795922944,3.367096615,2.636470024,0,0,0,2.757142261,2.037874702,2.005425354,2.031594606,2.523580768,2.053289965,0,0,0,0,3.150050254,2.735625828,2.661928568,3.169925001,0,0,0,0,0,0,0,0,0,0,0,0,3.587361076,3.611173861,3.514592303,0,0,0,2.507429953,2.34421514,2.182257962
DNASE1L1,3.315387858,2.740444656,0.864613417,0,0,0,0,0,0,0.96708259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.789613418,4.08036687,3.913226003,3.875236924,2.867824406,0,2.795384697,2.7307681,0,0,0,0,0,0,0,4.204821313,3.805523644,4.026951476,0.739362081,0.860421079,0.772077092
DNASE2,0,0,0,0,0,1.880020556,2.621946525,2.500551849,3.277509632,0,0,0.956200116,1.546060213,1.025359956,0,2.031594606,2.744180469,2.644053871,0,0,0,0,3.150050254,3.095469549,3.018820504,3.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5628543,1.625618656,0,0,0,0,0,0
DNM1L,2.578907744,1.941625202,3.326158875,2.268089723,1.953082406,1.880020556,1.442864021,1.51783371,1.453839514,3.262125066,3.144111598,2.511206051,2.275117866,2.626984775,2.590989414,2.031594606,1.53606782,2.053289965,1.714955817,1.653127323,1.168913826,1.889360771,0,0.958592587,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249442867,1.927897643,1.625618656,1.294777441,0,0,2.507429953,1.785217586,1.643015738
DNM2,4.080622667,3.833879792,3.439652425,2.528836668,1.543333959,1.47881758,0.894759661,0.9499485,1.453839514,4.521196453,4.453368265,4.374625784,0.970922069,1.618677671,2.590989414,0,0,0,1.714955817,3.677881073,2.583445471,3.563016736,0,0,0,0,3.408938331,3.77960348,4.041997863,3.338612139,0,0,2.795384697,1.933211842,5.299570037,2.829306972,5.373641915,4.717776833,0,0,0,2.768410014,2.516220617,2.608944111,2.668005625,2.746092798,2.881574594
DNMT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772077092
DNPEP,3.900107558,4.173790108,4.313216014,5.182130284,4.939105679,5.301033129,2.405039482,2.720458447,0,5.865250905,5.50553947,5.866704476,6.449699453,6.424725759,6.621865539,1.021139762,1.944875303,1.03574445,5.915389753,5.653586732,6.069668825,5.67347565,4.340174758,4.67405044,4.642674584,5.392317423,0,0,1.266997295,0,0,0,0,6.040849269,7.591891873,7.787012862,7.155924932,8.073241372,2.84774274,2.5628543,2.714132425,2.768410014,2.786809276,2.270656823,5.189041235,5.297620738,5.267143013
DNPH1,0,0,2.098758683,0,0,1.880020556,2.405039482,2.720458447,2.825330619,0,1.853383544,1.933791208,0,0,0,2.620025286,2.935479543,2.378701702,0,0,0,0,3.285708808,3.246517199,2.85138244,2,1.380514028,1.373875901,1.266997295,1.333072201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCK6,1.994551864,1.533191662,0.864613417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCK7,2.316116017,2.519953374,2.754024153,0,0.968891745,0.921132385,0,0,0,0,0.903929473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069533795,0,0,0,0,0,0,0,0,0,0,0,1.827934899,2.120082319,1.395685978,1.272293996
DOCK9,0,0.961347078,0,0,0,0,0,0,0,0,0.903929473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072868086,2.529815193,3.238727139,3.103821595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOP1B,0,0,0,0,0,0,0,0,0,0.96708259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.373875901,1.931003366,1.333072201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPEP1,7.410626366,7.565888806,6.563418886,5.219558335,4.939105679,4.429804965,3.882525857,3.904682107,3.141943704,6.715375804,5.870272591,6.419831502,5.642838452,5.370973994,5.433326323,4.994835424,4.972714701,5.238633838,6.33807326,5.525069138,6.381905483,6.874090533,5.170257136,5.005967243,4.963309897,5.554588852,10.51993523,10.45455796,10.45758089,10.40868121,10.26746407,9.427238812,9.37406329,9.651819069,7.550291622,6.711832828,6.442563959,6.44408272,3.315236312,3.691675226,3.828805792,9.358606248,9.920005933,10.23297181,5.363390124,6.031877792,5.240382546
DPP3,1.994551864,0,2.351701379,3.744673432,3.941110664,4.488413743,5.212981893,5.514961035,5.388016891,0,4.133559819,4.772170812,5.030471481,4.955524285,5.007003913,6.170666134,6.212397253,6.1139741,0,0,0,0,6.809302752,6.589234984,6.51710788,6.807354922,0,0,1.266997295,1.333072201,0,2.069533795,1.989531496,4.557799622,0,0,2.598717113,2.600000002,5.494411435,5.381025321,5.392992024,1.294777441,0,0,4.035365473,4.113647402,3.987526457
DPP4,4.452494049,4.509944325,3.326158875,1.540237874,1.543333959,1.47881758,0,0,0,3.262125066,1.853383544,3.091114753,5.030471481,4.955524285,4.961192953,3.94610422,3.837964422,3.972912998,0,0,1.168913826,1.889360771,4.209776525,4.09068599,4.296512299,4.857980995,5.95273486,6.050023156,5.97476946,5.799550965,5.769425326,4.335216011,5.073900853,5.338660701,0,0,0,0,0,0,0,5.165164068,5.27673924,5.197865075,1.588954437,1.785217586,0.772077092
DPP7,0,0,0.864613417,3.261216432,3.114149002,4.304921401,3.964223206,3.712975173,4.331488349,2.750456577,3.144111598,4.61499383,5.642838452,5.441422199,5.399374998,5.713588178,5.627920928,5.76973831,0,1.05142317,1.168913826,2.338300494,6.07715216,5.775433711,5.738760262,6.044394119,0,1.373875901,0,0,2.867824406,2.069533795,3.309356743,3.916020257,3.581002772,3.724066632,4.015464754,2.600000002,4.83541472,4.507082585,4.622838935,0,0,0,1.588954437,2.34421514,1.937685898
DPP9,2.316116017,2.259576362,3.544865169,3.936702387,4.028337769,3.756000002,3.882525857,3.812010579,3.515531724,1.540903575,1.853383544,0,1.956160331,2.037874702,1.589786044,0,0,1.03574445,0,0,0,1.889360771,0.90705003,0.958592587,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0,1.908809775,2.171928609,2.370579781,0,0,0,2.812485386,2.34421514,2.573880245
DPY30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616472452,1.63401345,1.625618656,0,0,0,1.588954437,1.785217586,1.272293996
